"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Dengue","Brazil","Parana","state",2002-01-01,2002-10-31,51,7039,"total=51","total=7039","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-11-30,93,7132,"total=93","total=7132","TabnetTotal",""
"Dengue","Brazil","Parana","state",2002-01-01,2002-12-31,93,7225,"total=93","total=7225","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-01-31,9197,9197,"total=9197","total=9197","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-02-28,33562,42759,"total=33562","total=42759","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-03-31,34506,77265,"total=34506","total=77265","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-04-30,13569,90834,"total=13569","total=90834","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-05-31,4434,95268,"total=4434","total=95268","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-06-30,1455,96723,"total=1455","total=96723","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-07-31,918,97641,"total=918","total=97641","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-08-31,535,98176,"total=535","total=98176","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-09-30,389,98565,"total=389","total=98565","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-10-31,472,99037,"total=472","total=99037","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-11-30,495,99532,"total=495","total=99532","TabnetTotal",""
"Dengue","Brazil","Pernambuco","state",2002-01-01,2002-12-31,525,100057,"total=525","total=100057","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-01-31,909,909,"total=909","total=909","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-02-28,1344,2253,"total=1344","total=2253","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-03-31,1475,3728,"total=1475","total=3728","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-04-30,1458,5186,"total=1458","total=5186","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-05-31,1118,6304,"total=1118","total=6304","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-06-30,643,6947,"total=643","total=6947","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-07-31,460,7407,"total=460","total=7407","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-08-31,367,7774,"total=367","total=7774","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-09-30,272,8046,"total=272","total=8046","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-10-31,257,8303,"total=257","total=8303","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-11-30,354,8657,"total=354","total=8657","TabnetTotal",""
"Dengue","Brazil","Piaui","state",2002-01-01,2002-12-31,191,8848,"total=191","total=8848","TabnetTotal",""
"Dengue","Brazil","Rio de Janeiro","state",2002-01-01,2002-01-31,48309,48309,"total=48309","total=48309","TabnetTotal",""
"Dengue","Brazil","Rio de Janeiro","state",2002-01-01,2002-02-28,80164,128473,"total=80164","total=128473","TabnetTotal",""
"Dengue","Brazil","Rio de Janeiro","state",2002-01-01,2002-03-31,88375,216848,"total=88375","total=216848","TabnetTotal",""
"Dengue","Brazil","Rio de Janeiro","state",2002-01-01,2002-04-30,23443,240291,"total=23443","total=240291","TabnetTotal",""
"Dengue","Brazil","Rio de Janeiro","state",2002-01-01,2002-05-31,4817,245108,"total=4817","total=245108","TabnetTotal",""
"Dengue","Brazil","Rio de Janeiro","state",2002-01-01,2002-06-30,1248,246356,"total=1248","total=246356","TabnetTotal",""
